project_split,true_angle,attempted_count,estimated_count,failure_count,failure_rate,low_confidence_count,reliable_count,reliable_rate,zone_accuracy,mean_angle_confidence,mean_combined_confidence,circular_mae_degrees,circular_median_ae_degrees,circular_std_degrees,circular_rmse_degrees,maximum_circular_error_degrees,within_1_degrees_count,within_1_degrees_rate,within_2_degrees_count,within_2_degrees_rate,within_3_degrees_count,within_3_degrees_rate,within_5_degrees_count,within_5_degrees_rate,within_10_degrees_count,within_10_degrees_rate
validation,181.0,61,61,0,0.0,61,0,0.0,0.5245901639344263,0.023682638170575417,0.023682638170575417,54.98360655737705,1.75,63.30640213222648,83.85044747038388,179.75,29,0.47540983606557374,32,0.5245901639344263,32,0.5245901639344263,32,0.5245901639344263,32,0.5245901639344263
validation,225.0,61,61,0,0.0,61,0,0.0,0.6065573770491803,0.28325691566626915,0.28325691566626915,69.84016393442623,1.5,85.59173289119333,110.46987479718132,180.0,28,0.45901639344262296,33,0.5409836065573771,34,0.5573770491803278,36,0.5901639344262295,37,0.6065573770491803
validation,269.0,61,61,0,0.0,61,0,0.0,0.45901639344262296,0.0177867235547194,0.0177867235547194,50.49180327868852,2.25,59.070064108627534,77.70903854849286,179.75,20,0.32786885245901637,30,0.4918032786885246,32,0.5245901639344263,33,0.5409836065573771,33,0.5409836065573771
validation,270.0,61,61,0,0.0,61,0,0.0,0.32786885245901637,0.015631656546172865,0.015631656546172865,47.6844262295082,1.25,57.45521958410456,74.66529824687692,179.25,29,0.47540983606557374,34,0.5573770491803278,34,0.5573770491803278,34,0.5573770491803278,34,0.5573770491803278
validation,271.0,61,61,0,0.0,61,0,0.0,0.4918032786885246,0.02157362373617492,0.02157362373617492,50.528688524590166,2.5,59.61809980626303,78.15027951661203,180.0,26,0.4262295081967213,30,0.4918032786885246,32,0.5245901639344263,33,0.5409836065573771,33,0.5409836065573771
validation,315.0,61,61,0,0.0,61,0,0.0,0.6065573770491803,0.2830734761180406,0.2830734761180406,69.95901639344262,1.75,85.85079484828138,110.74575816174483,180.0,28,0.45901639344262296,34,0.5573770491803278,36,0.5901639344262295,37,0.6065573770491803,37,0.6065573770491803
validation,359.0,61,61,0,0.0,61,0,0.0,0.47540983606557374,0.017143869888354507,0.017143869888354507,73.85655737704919,89.0,67.33604037994799,99.94465169102018,180.0,18,0.29508196721311475,21,0.3442622950819672,21,0.3442622950819672,24,0.39344262295081966,24,0.39344262295081966
validation,45.0,61,61,0,0.0,61,0,0.0,0.39344262295081966,0.2829154169248748,0.2829154169248748,110.09016393442623,178.75,85.77221588606601,139.55900978838577,180.0,7,0.11475409836065574,15,0.2459016393442623,18,0.29508196721311475,19,0.3114754098360656,20,0.32786885245901637
validation,89.0,61,61,0,0.0,61,0,0.0,0.2459016393442623,0.018114045259171357,0.018114045259171357,132.35245901639345,177.25,54.82887643089679,143.2598307215273,180.0,1,0.01639344262295082,3,0.04918032786885246,4,0.06557377049180328,4,0.06557377049180328,4,0.06557377049180328
validation,90.0,61,61,0,0.0,61,0,0.0,0.16393442622950818,0.015983936975744437,0.015983936975744437,131.01639344262296,179.0,57.33565017016347,143.01283904302977,180.0,2,0.03278688524590164,5,0.08196721311475409,5,0.08196721311475409,5,0.08196721311475409,5,0.08196721311475409
validation,91.0,61,61,0,0.0,61,0,0.0,0.2786885245901639,0.021454863824659942,0.021454863824659942,132.38524590163934,178.25,57.61114656510569,144.37762133025882,180.0,4,0.06557377049180328,5,0.08196721311475409,5,0.08196721311475409,5,0.08196721311475409,5,0.08196721311475409
